x,y
3614.118225,2848.165119
2902.862306,2212.959708
3101.196589,876.858151
3594.742278,467.376386
3356.856056,2241.127495
2629.411887,1158.059725
69.365878,3214.932423
283.632696,1009.559395
1581.492525,1663.771563
2720.859375,3216.913418
819.103662,3427.194918
3173.456584,3373.129596
455.569674,2475.460173
3749.876941,1884.537672
2646.473914,267.734057
2407.230045,2784.007189
447.551582,3009.268742
2803.359156,2717.026184
2181.894660,3126.255520
3931.800948,2505.286946
3603.690060,3939.540330
3515.110312,1486.225754
1219.831247,1280.995426
2041.005499,228.912252
883.172797,2000.242297
807.209156,158.154310
1519.561375,3316.844989
2392.115481,3668.953476
209.100573,2077.405997
362.517142,243.137832
2031.260798,1528.085711
1345.831060,472.932311
2434.266149,2243.782763
2091.900188,963.890186
1244.306558,2456.895917
665.685652,706.184452
500.890147,1722.151020
1098.111195,3949.865102
3807.719016,3540.190008
1679.985650,807.874800
50.576854,544.316656
1005.193920,2859.053961
3889.592977,72.883102
84.065122,2711.393518
3904.396827,1142.660508
102.224404,1556.049562
415.471529,3872.685882
3163.351798,136.252584
1985.860167,3858.392474
2879.961733,3923.645900
