x,y
2583.361011,1757.886049
2912.166387,3359.009715
595.005159,2769.446835
3937.460438,515.123384
3206.097652,499.286039
135.725216,3428.551141
324.078211,945.752366
1694.901088,3685.252164
949.625655,110.624694
3217.178397,2994.639107
3586.614441,1014.965035
927.340471,3436.391734
1121.950695,1289.622825
3127.112253,2121.929667
3631.188226,3467.658424
3640.980989,112.730273
548.892549,2131.695731
1399.835064,102.297592
1953.824814,2052.081020
1555.474347,3063.880702
3673.319459,2597.855371
2304.537301,2580.017411
2256.740635,1408.866198
2391.962212,3003.116097
1127.830350,2111.029442
699.400649,3813.663447
1807.678631,1502.871779
88.215088,3856.923235
300.469609,1731.218065
2829.109793,68.895998
3692.258474,3893.298095
2071.846539,863.494501
824.919180,2437.570997
2930.286528,2556.511035
88.390843,2864.245146
2049.466690,3414.245803
754.996011,693.536259
2809.303959,3746.717887
2749.457709,653.975096
1506.185279,931.199525
3725.505267,2012.627293
2668.250724,1157.196568
3200.968514,3940.984124
3803.377119,1546.699624
1268.053642,3866.534287
92.759153,317.129115
1984.731045,80.493384
2058.082515,3898.292928
3215.233755,1652.489871
1589.846157,1858.745963
