x,y
3784.231540,3308.663254
1435.523253,905.361950
141.477898,876.316513
513.239613,1178.699226
902.970939,1085.129881
2150.105222,1107.531502
3708.999502,499.118206
428.742395,2617.582527
2585.082299,2684.838053
1762.095036,3224.148605
1438.610596,3892.740638
3376.366152,3759.996092
552.676882,3917.251875
3895.240367,902.203114
86.486467,1895.722608
3403.597175,2733.067764
2006.259517,1964.579061
3216.910204,503.103360
2224.804761,1618.124741
109.366846,3935.284440
2040.252267,387.480748
3531.507341,1985.489695
580.416017,160.540527
1484.976989,214.049473
3096.171643,1316.787085
504.351329,3211.095764
1221.916478,1649.269467
1999.811598,2795.947623
965.874916,3917.351739
807.629637,2029.701273
2156.499293,3804.031009
1314.062892,2912.845420
1615.823314,2474.474206
2994.043316,2071.109383
2412.964624,3182.133631
2813.749839,3717.477003
3499.680382,1075.624132
116.952435,3330.722553
3928.496664,69.090436
78.708145,240.997016
862.036300,2920.931859
2395.406510,2101.016099
2649.567986,466.737367
102.511349,2305.052535
935.778320,418.200502
2798.991205,3049.015843
3342.589648,3260.382558
3466.128880,85.632391
412.807289,533.424344
3819.874742,3844.836527
